vol	issue	month	year	file_name	country	region_en	region	region_local	latitude	longitude	country_db	caption_title	caption														
87	1	Jan	1945	vol-87_no-01_Jan-1945_01.jpg	Formosa				23.698	120.961	Taiwan	"As a Canton, Formosan Chinese Hold an Annual Dragon Feast"	"Long, narrow boats, gaily painted like dragons, are paddled furiously close to shore. To drive away evil spirits and cheer the Chinese crews to greater efforts, rooters on shore yell and beat on gongs. Popular now in Takao and Ampin, such festivals seem akin to South China's annual Dragon Feast, wherein similarly decorated craft are used."														
87	1	Jan	1945	vol-87_no-01_Jan-1945_02.jpg	Formosa				23.698	120.961	Taiwan	An arrogant Daughter of the Sons of Heaven Out for an Airing	"Cap badges worn by the two Formosan Chinese carrying the chair show they're in Japanese Government service. The chair, ""For Official Use Only,"" is no doubt used here by the daughter of some public official."														
87	1	Jan	1945	vol-87_no-01_Jan-1945_03.jpg	Formosa				23.698	120.961	Taiwan	"Taiyal Headhunters' Dances Now Are Halted, but This ""Paul Jones"" Illustrates How They Were Once Performed"	"It was Taiyal custom to set up the captured head, dance about it, and offer it food and drink, as if to dispel the victim's sorrow. Many skulls in a village were thought to bring prosperity. Some villages now compromise on a monkey's head! Formerly, dancers wore all their weapons. Now disarmed, they go in for fancy dress."														
87	1	Jan	1945	vol-87_no-01_Jan-1945_04.jpg	Formosa				23.698	120.961	Taiwan	"Pipe in Mouth, a Mother Admires Her Child"	"She's a tame, or ""ripe,"" savage, and her mustache tattoo proves she's married. Like every island adult, she smokes—and local tobacco is good. Her pipe is of the brass bowl type, introduced by Japanese traders. "														
87	1	Jan	1945	vol-87_no-01_Jan-1945_05.jpg	Formosa				23.698	120.961	Taiwan	"Come on, You Lucky Number! Baby Needs Shoes!"	"Orientals are born gamblers. From the cradle to the grave, from fan-tan to cockfights and (among upper classes) even to American poker, they love a game of change. These Taihoku Chinese urchins concentrate on picking a winning number. Boy on left boasts a lettered cap, similar to those advertising caps worn by some American gasoline station attendants."														
87	1	Jan	1945	vol-87_no-01_Jan-1945_06.jpg	Formosa				23.698	120.961	Taiwan	Here the Policeman Must Also Serve as School Teacher	"These children belong to the Taiyal tribe. There's much ado over educating wild tribe children, but results are superficial. Chief aim is to wean them away from tribal customs, to teach them respect for all Japanese-even to bowing to a passing bus or motorcar!"														
87	1	Jan	1945	vol-87_no-01_Jan-1945_07.jpg	Papua New Guinea	Bougainville Island	Bougainville Island	Bogenvil	-6.375	155.381	Papua New Guinea	"In Wild Bamboo Highlands of Bougainville, a Radioman Talks with Toronkina"	"Having scouted in the heart of Jap country for 60 days, these men now pause during the 5 1/2-day walk out over Mount Balbi (page 96). The Australian-made portable transmitter never failed them."														
87	1	Jan	1945	vol-87_no-01_Jan-1945_08.jpg	Papua New Guinea	Bougainville Island	Bougainville Island	Bogenvil	-6.375	155.381	Papua New Guinea	"Friendly Islanders Brought Coconuts, Papayas, Squash, and Taro to the Ibu Garrison"	"The Japs had stripped local gardens of Bougainville; so it was a tribute to the Fijians that the natives should part with their valued produce, which they exchanged for stick tobacco and parachute silk. Men carrying bows and arrows led the silent processions; women and children brought up the rear. Bamboo sections in background are water carriers."														
87	1	Jan	1945	vol-87_no-01_Jan-1945_09.jpg	Papua New Guinea	Bougainville Island	Bougainville Island	Bogenvil	-6.375	155.381	Papua New Guinea	Papua New Guinea	"Pvt. John Seduadua, like most of his companions, has served in the Army since Britain declared war on Germany. When he goes on patrol in the ""bush,"" his helmet will stay behind because it makes too much noise against vines and branches in the jungle. Ferns will hide his soft olive-drab cap (Plate VIII)."														
87	1	Jan	1945	vol-87_no-01_Jan-1945_10.jpg	Papua New Guinea	Bougainville Island	Bougainville Island	Bogenvil	-6.375	155.381	Papua New Guinea	"Fierce, Yet Friendly, Bougainville Islanders Served as Carriers"	"As this boy's hair grows, he lets it pile up inside the red-and-blue headpiece, woven of palm. He wears it until married, and no woman of his tribe may see him with it off. An old nail serves as earring. The three Buka district islanders jumped three feet when the author made this photo flash."														
